step,residual
   2000,  5.134754E-02
   4000,  1.085616E-02
   6000,  1.388277E-03
   8000,  2.297340E-04
  10000,  7.651502E-05
  12000,  3.675764E-05
  14000,  1.841315E-05
  16000,  9.289639E-06
  18000,  4.703312E-06
  20000,  2.377175E-06
  22000,  1.201699E-06
  24000,  6.074307E-07
