y,u_sim
  0.000000,  0.00000000
  0.003906, -0.01604595
  0.011719, -0.04584141
  0.019531, -0.07353922
  0.027344, -0.09934096
  0.035156, -0.12348900
  0.042969, -0.14626820
  0.050781, -0.16798069
  0.058594, -0.18890677
  0.066406, -0.20926509
  0.074219, -0.22918301
  0.082031, -0.24868267
  0.089844, -0.26768374
  0.097656, -0.28601952
  0.105469, -0.30346116
  0.113281, -0.31974472
  0.121094, -0.33459729
  0.128906, -0.34776002
  0.136719, -0.35900717
  0.144531, -0.36816130
  0.152344, -0.37510425
  0.160156, -0.37978395
  0.167969, -0.38221671
  0.175781, -0.38248494
  0.183594, -0.38073054
  0.191406, -0.37714466
  0.199219, -0.37195484
  0.207031, -0.36541082
  0.214844, -0.35777041
  0.222656, -0.34928648
  0.230469, -0.34019593
  0.238281, -0.33071146
  0.246094, -0.32101594
  0.253906, -0.31125972
  0.261719, -0.30156020
  0.269531, -0.29200345
  0.277344, -0.28264719
  0.285156, -0.27352472
  0.292969, -0.26464927
  0.300781, -0.25601842
  0.308594, -0.24761826
  0.316406, -0.23942716
  0.324219, -0.23141893
  0.332031, -0.22356543
  0.339844, -0.21583857
  0.347656, -0.20821169
  0.355469, -0.20066062
  0.363281, -0.19316412
  0.371094, -0.18570418
  0.378906, -0.17826599
  0.386719, -0.17083773
  0.394531, -0.16341028
  0.402344, -0.15597685
  0.410156, -0.14853261
  0.417969, -0.14107429
  0.425781, -0.13359986
  0.433594, -0.12610817
  0.441406, -0.11859870
  0.449219, -0.11107132
  0.457031, -0.10352613
  0.464844, -0.09596331
  0.472656, -0.08838297
  0.480469, -0.08078514
  0.488281, -0.07316968
  0.496094, -0.06553624
  0.503906, -0.05788427
  0.511719, -0.05021302
  0.519531, -0.04252150
  0.527344, -0.03480853
  0.535156, -0.02707273
  0.542969, -0.01931254
  0.550781, -0.01152623
  0.558594, -0.00371190
  0.566406,  0.00413252
  0.574219,  0.01200924
  0.582031,  0.01992065
  0.589844,  0.02786932
  0.597656,  0.03585798
  0.605469,  0.04388957
  0.613281,  0.05196726
  0.621094,  0.06009442
  0.628906,  0.06827470
  0.636719,  0.07651201
  0.644531,  0.08481053
  0.652344,  0.09317474
  0.660156,  0.10160939
  0.667969,  0.11011949
  0.675781,  0.11871027
  0.683594,  0.12738710
  0.691406,  0.13615539
  0.699219,  0.14502049
  0.707031,  0.15398749
  0.714844,  0.16306098
  0.722656,  0.17224482
  0.730469,  0.18154181
  0.738281,  0.19095329
  0.746094,  0.20047875
  0.753906,  0.21011535
  0.761719,  0.21985742
  0.769531,  0.22969592
  0.777344,  0.23961795
  0.785156,  0.24960620
  0.792969,  0.25963851
  0.800781,  0.26968743
  0.808594,  0.27971994
  0.816406,  0.28969722
  0.824219,  0.29957461
  0.832031,  0.30930175
  0.839844,  0.31882282
  0.847656,  0.32807719
  0.855469,  0.33700031
  0.863281,  0.34552544
  0.871094,  0.35358674
  0.878906,  0.36112558
  0.886719,  0.36810280
  0.894531,  0.37452273
  0.902344,  0.38047705
  0.910156,  0.38621984
  0.917969,  0.39228476
  0.925781,  0.39964813
  0.933594,  0.40992304
  0.941406,  0.42553542
  0.949219,  0.44978934
  0.957031,  0.48668779
  0.964844,  0.54036354
  0.972656,  0.61402122
  0.980469,  0.70843167
  0.988281,  0.82029221
  0.996094,  0.94121861
  1.000000,  1.00000000
