step,residual
   2000,  3.192194E-02
   4000,  5.547245E-03
   6000,  1.091938E-03
   8000,  2.116181E-04
  10000,  4.116366E-05
  12000,  8.175950E-06
  14000,  1.738684E-06
  16000,  4.036537E-07
