x,y,vorticity
 0.00000,   0.00000000,   0.00000000
 0.00781,   0.00000000,  -0.00093226
 0.01562,   0.00000000,  -0.00359488
 0.02344,   0.00000000,  -0.00691052
 0.03125,   0.00000000,  -0.01000500
 0.03906,   0.00000000,  -0.01230629
 0.04688,   0.00000000,  -0.01346766
 0.05469,   0.00000000,  -0.01329170
 0.06250,   0.00000000,  -0.01167798
 0.07031,   0.00000000,  -0.00858967
 0.07812,   0.00000000,  -0.00403219
 0.08594,   0.00000000,   0.00196070
 0.09375,   0.00000000,   0.00933620
 0.10156,   0.00000000,   0.01802897
 0.10938,   0.00000000,   0.02796561
 0.11719,   0.00000000,   0.03906796
 0.12500,   0.00000000,   0.05125546
 0.13281,   0.00000000,   0.06444686
 0.14062,   0.00000000,   0.07856150
 0.14844,   0.00000000,   0.09352021
 0.15625,   0.00000000,   0.10924597
 0.16406,   0.00000000,   0.12566433
 0.17188,   0.00000000,   0.14270371
 0.17969,   0.00000000,   0.16029551
 0.18750,   0.00000000,   0.17837422
 0.19531,   0.00000000,   0.19687735
 0.20312,   0.00000000,   0.21574535
 0.21094,   0.00000000,   0.23492148
 0.21875,   0.00000000,   0.25435165
 0.22656,   0.00000000,   0.27398417
 0.23438,   0.00000000,   0.29376960
 0.24219,   0.00000000,   0.31366046
 0.25000,   0.00000000,   0.33361105
 0.25781,   0.00000000,   0.35357717
 0.26562,   0.00000000,   0.37351591
 0.27344,   0.00000000,   0.39338543
 0.28125,   0.00000000,   0.41314474
 0.28906,   0.00000000,   0.43275350
 0.29688,   0.00000000,   0.45217185
 0.30469,   0.00000000,   0.47136026
 0.31250,   0.00000000,   0.49027934
 0.32031,   0.00000000,   0.50888977
 0.32812,   0.00000000,   0.52715216
 0.33594,   0.00000000,   0.54502700
 0.34375,   0.00000000,   0.56247459
 0.35156,   0.00000000,   0.57945502
 0.35938,   0.00000000,   0.59592816
 0.36719,   0.00000000,   0.61185366
 0.37500,   0.00000000,   0.62719100
 0.38281,   0.00000000,   0.64189958
 0.39062,   0.00000000,   0.65593874
 0.39844,   0.00000000,   0.66926791
 0.40625,   0.00000000,   0.68184672
 0.41406,   0.00000000,   0.69363516
 0.42188,   0.00000000,   0.70459370
 0.42969,   0.00000000,   0.71468351
 0.43750,   0.00000000,   0.72386662
 0.44531,   0.00000000,   0.73210615
 0.45312,   0.00000000,   0.73936651
 0.46094,   0.00000000,   0.74561365
 0.46875,   0.00000000,   0.75081528
 0.47656,   0.00000000,   0.75494111
 0.48438,   0.00000000,   0.75796311
 0.49219,   0.00000000,   0.75985578
 0.50000,   0.00000000,   0.76059635
 0.50781,   0.00000000,   0.76016510
 0.51562,   0.00000000,   0.75854554
 0.52344,   0.00000000,   0.75572470
 0.53125,   0.00000000,   0.75169334
 0.53906,   0.00000000,   0.74644618
 0.54688,   0.00000000,   0.73998208
 0.55469,   0.00000000,   0.73230427
 0.56250,   0.00000000,   0.72342052
 0.57031,   0.00000000,   0.71334325
 0.57812,   0.00000000,   0.70208972
 0.58594,   0.00000000,   0.68968207
 0.59375,   0.00000000,   0.67614747
 0.60156,   0.00000000,   0.66151810
 0.60938,   0.00000000,   0.64583121
 0.61719,   0.00000000,   0.62912909
 0.62500,   0.00000000,   0.61145904
 0.63281,   0.00000000,   0.59287326
 0.64062,   0.00000000,   0.57342876
 0.64844,   0.00000000,   0.55318720
 0.65625,   0.00000000,   0.53221469
 0.66406,   0.00000000,   0.51058161
 0.67188,   0.00000000,   0.48836229
 0.67969,   0.00000000,   0.46563478
 0.68750,   0.00000000,   0.44248050
 0.69531,   0.00000000,   0.41898389
 0.70312,   0.00000000,   0.39523203
 0.71094,   0.00000000,   0.37131426
 0.71875,   0.00000000,   0.34732170
 0.72656,   0.00000000,   0.32334686
 0.73438,   0.00000000,   0.29948312
 0.74219,   0.00000000,   0.27582427
 0.75000,   0.00000000,   0.25246403
 0.75781,   0.00000000,   0.22949551
 0.76562,   0.00000000,   0.20701075
 0.77344,   0.00000000,   0.18510017
 0.78125,   0.00000000,   0.16385205
 0.78906,   0.00000000,   0.14335209
 0.79688,   0.00000000,   0.12368280
 0.80469,   0.00000000,   0.10492310
 0.81250,   0.00000000,   0.08714774
 0.82031,   0.00000000,   0.07042685
 0.82812,   0.00000000,   0.05482543
 0.83594,   0.00000000,   0.04040282
 0.84375,   0.00000000,   0.02721220
 0.85156,   0.00000000,   0.01530006
 0.85938,   0.00000000,   0.00470556
 0.86719,   0.00000000,  -0.00454007
 0.87500,   0.00000000,  -0.01241431
 0.88281,   0.00000000,  -0.01890422
 0.89062,   0.00000000,  -0.02400749
 0.89844,   0.00000000,  -0.02773375
 0.90625,   0.00000000,  -0.03010628
 0.91406,   0.00000000,  -0.03116419
 0.92188,   0.00000000,  -0.03096527
 0.92969,   0.00000000,  -0.02958996
 0.93750,   0.00000000,  -0.02714671
 0.94531,   0.00000000,  -0.02377943
 0.95312,   0.00000000,  -0.01967811
 0.96094,   0.00000000,  -0.01509383
 0.96875,   0.00000000,  -0.01035932
 0.97656,   0.00000000,  -0.00591447
 0.98438,   0.00000000,  -0.00232411
 0.99219,   0.00000000,  -0.00022946
 1.00000,   0.00000000,  -0.00000000
 0.00000,   0.00781250,  -0.00093226
 0.00781,   0.00781250,  -0.00173206
 0.01562,   0.00781250,  -0.00253047
 0.02344,   0.00781250,  -0.00344467
 0.03125,   0.00781250,  -0.00416712
 0.03906,   0.00781250,  -0.00435706
 0.04688,   0.00781250,  -0.00374385
 0.05469,   0.00781250,  -0.00213864
 0.06250,   0.00781250,   0.00057823
 0.07031,   0.00781250,   0.00447309
 0.07812,   0.00781250,   0.00957261
 0.08594,   0.00781250,   0.01587438
 0.09375,   0.00781250,   0.02335489
 0.10156,   0.00781250,   0.03197543
 0.10938,   0.00781250,   0.04168659
 0.11719,   0.00781250,   0.05243160
 0.12500,   0.00781250,   0.06414884
 0.13281,   0.00781250,   0.07677377
 0.14062,   0.00781250,   0.09024043
 0.14844,   0.00781250,   0.10448246
 0.15625,   0.00781250,   0.11943402
 0.16406,   0.00781250,   0.13503030
 0.17188,   0.00781250,   0.15120802
 0.17969,   0.00781250,   0.16790571
 0.18750,   0.00781250,   0.18506387
 0.19531,   0.00781250,   0.20262510
 0.20312,   0.00781250,   0.22053409
 0.21094,   0.00781250,   0.23873765
 0.21875,   0.00781250,   0.25718455
 0.22656,   0.00781250,   0.27582549
 0.23438,   0.00781250,   0.29461294
 0.24219,   0.00781250,   0.31350096
 0.25000,   0.00781250,   0.33244511
 0.25781,   0.00781250,   0.35140219
 0.26562,   0.00781250,   0.37033016
 0.27344,   0.00781250,   0.38918792
 0.28125,   0.00781250,   0.40793515
 0.28906,   0.00781250,   0.42653221
 0.29688,   0.00781250,   0.44493993
 0.30469,   0.00781250,   0.46311955
 0.31250,   0.00781250,   0.48103254
 0.32031,   0.00781250,   0.49864057
 0.32812,   0.00781250,   0.51590541
 0.33594,   0.00781250,   0.53278886
 0.34375,   0.00781250,   0.54925273
 0.35156,   0.00781250,   0.56525880
 0.35938,   0.00781250,   0.58076884
 0.36719,   0.00781250,   0.59574464
 0.37500,   0.00781250,   0.61014800
 0.38281,   0.00781250,   0.62394086
 0.39062,   0.00781250,   0.63708530
 0.39844,   0.00781250,   0.64954371
 0.40625,   0.00781250,   0.66127885
 0.41406,   0.00781250,   0.67225400
 0.42188,   0.00781250,   0.68243309
 0.42969,   0.00781250,   0.69178088
 0.43750,   0.00781250,   0.70026310
 0.44531,   0.00781250,   0.70784666
 0.45312,   0.00781250,   0.71449981
 0.46094,   0.00781250,   0.72019240
 0.46875,   0.00781250,   0.72489601
 0.47656,   0.00781250,   0.72858419
 0.48438,   0.00781250,   0.73123272
 0.49219,   0.00781250,   0.73281975
 0.50000,   0.00781250,   0.73332608
 0.50781,   0.00781250,   0.73273535
 0.51562,   0.00781250,   0.73103422
 0.52344,   0.00781250,   0.72821263
 0.53125,   0.00781250,   0.72426395
 0.53906,   0.00781250,   0.71918519
 0.54688,   0.00781250,   0.71297715
 0.55469,   0.00781250,   0.70564459
 0.56250,   0.00781250,   0.69719638
 0.57031,   0.00781250,   0.68764560
 0.57812,   0.00781250,   0.67700963
