x,y,vorticity
 0.00000,   0.00000000,   0.00000000
 0.00781,   0.00000000,  -0.00109116
 0.01562,   0.00000000,  -0.00641323
 0.02344,   0.00000000,  -0.01452902
 0.03125,   0.00000000,  -0.02376893
 0.03906,   0.00000000,  -0.03285378
 0.04688,   0.00000000,  -0.04090697
 0.05469,   0.00000000,  -0.04736052
 0.06250,   0.00000000,  -0.05186662
 0.07031,   0.00000000,  -0.05423122
 0.07812,   0.00000000,  -0.05436646
 0.08594,   0.00000000,  -0.05225646
 0.09375,   0.00000000,  -0.04793256
 0.10156,   0.00000000,  -0.04145531
 0.10938,   0.00000000,  -0.03290116
 0.11719,   0.00000000,  -0.02235287
 0.12500,   0.00000000,  -0.00989274
 0.13281,   0.00000000,   0.00440212
 0.14062,   0.00000000,   0.02046274
 0.14844,   0.00000000,   0.03822990
 0.15625,   0.00000000,   0.05765484
 0.16406,   0.00000000,   0.07869902
 0.17188,   0.00000000,   0.10133336
 0.17969,   0.00000000,   0.12553709
 0.18750,   0.00000000,   0.15129624
 0.19531,   0.00000000,   0.17860192
 0.20312,   0.00000000,   0.20744858
 0.21094,   0.00000000,   0.23783214
 0.21875,   0.00000000,   0.26974822
 0.22656,   0.00000000,   0.30319034
 0.23438,   0.00000000,   0.33814828
 0.24219,   0.00000000,   0.37460648
 0.25000,   0.00000000,   0.41254259
 0.25781,   0.00000000,   0.45192612
 0.26562,   0.00000000,   0.49271722
 0.27344,   0.00000000,   0.53486558
 0.28125,   0.00000000,   0.57830944
 0.28906,   0.00000000,   0.62297472
 0.29688,   0.00000000,   0.66877431
 0.30469,   0.00000000,   0.71560741
 0.31250,   0.00000000,   0.76335905
 0.32031,   0.00000000,   0.81189971
 0.32812,   0.00000000,   0.86108503
 0.33594,   0.00000000,   0.91075576
 0.34375,   0.00000000,   0.96073778
 0.35156,   0.00000000,   1.01084222
 0.35938,   0.00000000,   1.06086589
 0.36719,   0.00000000,   1.11059175
 0.37500,   0.00000000,   1.15978962
 0.38281,   0.00000000,   1.20821705
 0.39062,   0.00000000,   1.25562041
 0.39844,   0.00000000,   1.30173614
 0.40625,   0.00000000,   1.34629226
 0.41406,   0.00000000,   1.38900999
 0.42188,   0.00000000,   1.42960568
 0.42969,   0.00000000,   1.46779284
 0.43750,   0.00000000,   1.50328439
 0.44531,   0.00000000,   1.53579511
 0.45312,   0.00000000,   1.56504416
 0.46094,   0.00000000,   1.59075789
 0.46875,   0.00000000,   1.61267258
 0.47656,   0.00000000,   1.63053742
 0.48438,   0.00000000,   1.64411749
 0.49219,   0.00000000,   1.65319675
 0.50000,   0.00000000,   1.65758103
 0.50781,   0.00000000,   1.65710104
 0.51562,   0.00000000,   1.65161514
 0.52344,   0.00000000,   1.64101212
 0.53125,   0.00000000,   1.62521375
 0.53906,   0.00000000,   1.60417702
 0.54688,   0.00000000,   1.57789625
 0.55469,   0.00000000,   1.54640474
 0.56250,   0.00000000,   1.50977615
 0.57031,   0.00000000,   1.46812541
 0.57812,   0.00000000,   1.42160920
 0.58594,   0.00000000,   1.37042595
 0.59375,   0.00000000,   1.31481537
 0.60156,   0.00000000,   1.25505732
 0.60938,   0.00000000,   1.19147033
 0.61719,   0.00000000,   1.12440935
 0.62500,   0.00000000,   1.05426320
 0.63281,   0.00000000,   0.98145127
 0.64062,   0.00000000,   0.90641988
 0.64844,   0.00000000,   0.82963812
 0.65625,   0.00000000,   0.75159328
 0.66406,   0.00000000,   0.67278597
 0.67188,   0.00000000,   0.59372494
 0.67969,   0.00000000,   0.51492169
 0.68750,   0.00000000,   0.43688500
 0.69531,   0.00000000,   0.36011543
 0.70312,   0.00000000,   0.28509989
 0.71094,   0.00000000,   0.21230638
 0.71875,   0.00000000,   0.14217902
 0.72656,   0.00000000,   0.07513339
 0.73438,   0.00000000,   0.01155235
 0.74219,   0.00000000,  -0.04821762
 0.75000,   0.00000000,  -0.10386958
 0.75781,   0.00000000,  -0.15513854
 0.76562,   0.00000000,  -0.20180334
 0.77344,   0.00000000,  -0.24368772
 0.78125,   0.00000000,  -0.28066086
 0.78906,   0.00000000,  -0.31263709
 0.79688,   0.00000000,  -0.33957513
 0.80469,   0.00000000,  -0.36147670
 0.81250,   0.00000000,  -0.37838460
 0.82031,   0.00000000,  -0.39038049
 0.82812,   0.00000000,  -0.39758235
 0.83594,   0.00000000,  -0.40014174
 0.84375,   0.00000000,  -0.39824124
 0.85156,   0.00000000,  -0.39209187
 0.85938,   0.00000000,  -0.38193104
 0.86719,   0.00000000,  -0.36802101
 0.87500,   0.00000000,  -0.35064825
 0.88281,   0.00000000,  -0.33012375
 0.89062,   0.00000000,  -0.30678484
 0.89844,   0.00000000,  -0.28099860
 0.90625,   0.00000000,  -0.25316730
 0.91406,   0.00000000,  -0.22373626
 0.92188,   0.00000000,  -0.19320452
 0.92969,   0.00000000,  -0.16213874
 0.93750,   0.00000000,  -0.13119070
 0.94531,   0.00000000,  -0.10111839
 0.95312,   0.00000000,  -0.07280978
 0.96094,   0.00000000,  -0.04730537
 0.96875,   0.00000000,  -0.02580713
 0.97656,   0.00000000,  -0.00963721
 0.98438,   0.00000000,  -0.00004073
 0.99219,   0.00000000,   0.00246511
 1.00000,   0.00000000,  -0.00000000
 0.00000,   0.00781250,  -0.00109116
 0.00781,   0.00781250,  -0.00424296
 0.01562,   0.00781250,  -0.00739179
 0.02344,   0.00781250,  -0.01136924
 0.03125,   0.00781250,  -0.01583580
 0.03906,   0.00781250,  -0.02018183
 0.04688,   0.00781250,  -0.02383679
 0.05469,   0.00781250,  -0.02635192
 0.06250,   0.00781250,  -0.02740455
 0.07031,   0.00781250,  -0.02677913
 0.07812,   0.00781250,  -0.02434427
 0.08594,   0.00781250,  -0.02003173
 0.09375,   0.00781250,  -0.01381897
 0.10156,   0.00781250,  -0.00571514
 0.10938,   0.00781250,   0.00424994
 0.11719,   0.00781250,   0.01603416
 0.12500,   0.00781250,   0.02958946
 0.13281,   0.00781250,   0.04486638
 0.14062,   0.00781250,   0.06181730
 0.14844,   0.00781250,   0.08039847
 0.15625,   0.00781250,   0.10057108
 0.16406,   0.00781250,   0.12230174
 0.17188,   0.00781250,   0.14556224
 0.17969,   0.00781250,   0.17032899
 0.18750,   0.00781250,   0.19658208
 0.19531,   0.00781250,   0.22430414
 0.20312,   0.00781250,   0.25347906
 0.21094,   0.00781250,   0.28409059
 0.21875,   0.00781250,   0.31612098
 0.22656,   0.00781250,   0.34954960
 0.23438,   0.00781250,   0.38435156
 0.24219,   0.00781250,   0.42049645
 0.25000,   0.00781250,   0.45794715
 0.25781,   0.00781250,   0.49665876
 0.26562,   0.00781250,   0.53657756
 0.27344,   0.00781250,   0.57764014
 0.28125,   0.00781250,   0.61977265
 0.28906,   0.00781250,   0.66289016
 0.29688,   0.00781250,   0.70689607
 0.30469,   0.00781250,   0.75168175
 0.31250,   0.00781250,   0.79712624
 0.32031,   0.00781250,   0.84309607
 0.32812,   0.00781250,   0.88944529
 0.33594,   0.00781250,   0.93601552
 0.34375,   0.00781250,   0.98263621
 0.35156,   0.00781250,   1.02912506
 0.35938,   0.00781250,   1.07528856
 0.36719,   0.00781250,   1.12092264
 0.37500,   0.00781250,   1.16581356
 0.38281,   0.00781250,   1.20973892
 0.39062,   0.00781250,   1.25246878
 0.39844,   0.00781250,   1.29376698
 0.40625,   0.00781250,   1.33339266
 0.41406,   0.00781250,   1.37110177
 0.42188,   0.00781250,   1.40664893
 0.42969,   0.00781250,   1.43978920
 0.43750,   0.00781250,   1.47028015
 0.44531,   0.00781250,   1.49788391
 0.45312,   0.00781250,   1.52236937
