x,y,u,v,p,speed
 0.51953,   0.00390625,  -0.00643091,  -0.00002071,   0.03366927,   0.00643095
 0.52734,   0.00390625,  -0.00637935,  -0.00003086,   0.03384545,   0.00637942
 0.53516,   0.00390625,  -0.00630740,  -0.00004109,   0.03402289,   0.00630754
 0.54297,   0.00390625,  -0.00621499,  -0.00005133,   0.03419994,   0.00621520
 0.55078,   0.00390625,  -0.00610215,  -0.00006151,   0.03437487,   0.00610246
 0.55859,   0.00390625,  -0.00596910,  -0.00007154,   0.03454591,   0.00596953
 0.56641,   0.00390625,  -0.00581621,  -0.00008135,   0.03471126,   0.00581678
 0.57422,   0.00390625,  -0.00564401,  -0.00009085,   0.03486912,   0.00564474
 0.58203,   0.00390625,  -0.00545319,  -0.00009997,   0.03501770,   0.00545411
 0.58984,   0.00390625,  -0.00524461,  -0.00010861,   0.03515526,   0.00524574
 0.59766,   0.00390625,  -0.00501928,  -0.00011671,   0.03528012,   0.00502064
 0.60547,   0.00390625,  -0.00477837,  -0.00012419,   0.03539068,   0.00477999
 0.61328,   0.00390625,  -0.00452320,  -0.00013098,   0.03548545,   0.00452510
 0.62109,   0.00390625,  -0.00425522,  -0.00013700,   0.03556307,   0.00425742
 0.62891,   0.00390625,  -0.00397600,  -0.00014221,   0.03562233,   0.00397855
 0.63672,   0.00390625,  -0.00368725,  -0.00014655,   0.03566219,   0.00369016
 0.64453,   0.00390625,  -0.00339074,  -0.00014996,   0.03568180,   0.00339405
 0.65234,   0.00390625,  -0.00308834,  -0.00015243,   0.03568051,   0.00309210
 0.66016,   0.00390625,  -0.00278199,  -0.00015392,   0.03565788,   0.00278625
 0.66797,   0.00390625,  -0.00247365,  -0.00015442,   0.03561367,   0.00247847
 0.67578,   0.00390625,  -0.00216533,  -0.00015391,   0.03554790,   0.00217079
 0.68359,   0.00390625,  -0.00185900,  -0.00015242,   0.03546079,   0.00186524
 0.69141,   0.00390625,  -0.00155664,  -0.00014994,   0.03535279,   0.00156385
 0.69922,   0.00390625,  -0.00126019,  -0.00014651,   0.03522457,   0.00126867
 0.70703,   0.00390625,  -0.00097150,  -0.00014217,   0.03507701,   0.00098184
 0.71484,   0.00390625,  -0.00069235,  -0.00013697,   0.03491118,   0.00070577
 0.72266,   0.00390625,  -0.00042444,  -0.00013095,   0.03472833,   0.00044418
 0.73047,   0.00390625,  -0.00016931,  -0.00012418,   0.03452988,   0.00020997
 0.73828,   0.00390625,   0.00007161,  -0.00011674,   0.03431738,   0.00013695
 0.74609,   0.00390625,   0.00029705,  -0.00010870,   0.03409252,   0.00031631
 0.75391,   0.00390625,   0.00050588,  -0.00010013,   0.03385706,   0.00051569
 0.76172,   0.00390625,   0.00069715,  -0.00009114,   0.03361285,   0.00070308
 0.76953,   0.00390625,   0.00087010,  -0.00008181,   0.03336177,   0.00087394
 0.77734,   0.00390625,   0.00102412,  -0.00007221,   0.03310575,   0.00102666
 0.78516,   0.00390625,   0.00115879,  -0.00006245,   0.03284670,   0.00116047
 0.79297,   0.00390625,   0.00127385,  -0.00005261,   0.03258650,   0.00127494
 0.80078,   0.00390625,   0.00136924,  -0.00004278,   0.03232701,   0.00136991
 0.80859,   0.00390625,   0.00144504,  -0.00003302,   0.03207001,   0.00144542
 0.81641,   0.00390625,   0.00150149,  -0.00002343,   0.03181721,   0.00150168
 0.82422,   0.00390625,   0.00153899,  -0.00001407,   0.03157023,   0.00153905
 0.83203,   0.00390625,   0.00155805,  -0.00000500,   0.03133060,   0.00155806
 0.83984,   0.00390625,   0.00155934,   0.00000371,   0.03109974,   0.00155935
 0.84766,   0.00390625,   0.00154362,   0.00001201,   0.03087896,   0.00154367
 0.85547,   0.00390625,   0.00151176,   0.00001985,   0.03066946,   0.00151189
 0.86328,   0.00390625,   0.00146475,   0.00002717,   0.03047233,   0.00146500
 0.87109,   0.00390625,   0.00140365,   0.00003393,   0.03028858,   0.00140406
 0.87891,   0.00390625,   0.00132963,   0.00004009,   0.03011909,   0.00133024
