step,residual
   2000,  8.440247E-02
   4000,  2.349823E-02
   6000,  5.543641E-03
   8000,  1.075591E-03
  10000,  2.483986E-04
  12000,  9.628296E-05
  14000,  4.782077E-05
  16000,  2.780462E-05
  18000,  1.656497E-05
  20000,  9.788717E-06
  22000,  5.736324E-06
  24000,  3.363947E-06
  26000,  1.977322E-06
  28000,  1.162439E-06
  30000,  6.828303E-07
